,job title,more info,job_company,job_location,skill requirement 1,skill requirement 2,skill requirement 3,posted time
12,Junior Data Engineer,https://th.jobsdb.com//th/en/job/junior-data-engineer-300003002467671?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=13&jobId=jobsdb-th-job-300003002467671,Central Retail Corporation Ltd. (JD Finance),Pathumwan,Understanding of Hadoop ecosystem,Experience with data pipeline and workflow,"Familiar with APIs, JSON, REST",9h ago
13,Data Analytics Expert/นักวิเคราะห์ข้อมูลระดับผู้เชี่ยวชาญ,https://th.jobsdb.com//th/en/job/data-analytics-expert-%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7%E0%B8%8A%E0%B8%B2%E0%B8%8D-300003002454226?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=14&jobId=jobsdb-th-job-300003002454226,PTG Energy Public Company Limited,Huaykwang,Data Analysis,Data Analytic,Big Data,14h ago
14,Data Analyst Manager (Marketing),https://th.jobsdb.com//th/en/job/data-analyst-manager-marketing-300003002458691?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=15&jobId=jobsdb-th-job-300003002458691,Amway (Thailand) Limited,Bangkapi,Able to write SQL Query to acquire data.,Business Intelligent.,Good command of spoken and written English,20h ago
15,IT Tech Data Analytic (BI),https://th.jobsdb.com//th/en/job/it-tech-data-analytic-bi-300003002463250?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=16&jobId=jobsdb-th-job-300003002463250,GMM Grammy Public Company Limited,Wattana,,,,20h ago
16,Data Analyst (Contract 1 Year/ Extendable),https://th.jobsdb.com//th/en/job/data-analyst-contract-1-year-extendable-300003002458933?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=17&jobId=jobsdb-th-job-300003002458933,"Skillpower Services (Thailand) Co., Ltd.",Bangrak,Defining new data collection and analysis,Data Analyst or Business Data Analyst,Good English communicates for analyzing datasets,20h ago
17,"MIS, Data  Analysis (AM-SM)/รองผจก.-ผจก.อาวุโส วิเคราะห์ผลงานและคุณภาพสินเชื่อ",https://th.jobsdb.com//th/en/job/mis-data-analysis-am-sm-%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%9C%E0%B8%88%E0%B8%81-%E0%B8%9C%E0%B8%88%E0%B8%81-%E0%B8%AD%E0%B8%B2%E0%B8%A7%E0%B8%B8%E0%B9%82%E0%B8%AA-%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%9C%E0%B8%A5%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD-300003002468083?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=18&jobId=jobsdb-th-job-300003002468083,Thai Credit Retail Bank Public Company Limited,Bangkok,"วิเคราะห์ข้อมูล, นำเสนอรายงาน, ออกแบบรายงาน","MIS, Data Analysist, Sales Performance Report","Excel Expert, Presentation Skill, Analitical Skill",4h ago
18,Data Analyst for Compliance (Global Financial Intelligence Unit : GFIU),https://th.jobsdb.com//th/en/job/data-analyst-for-compliance-global-financial-intelligence-unit-%3A-gfiu-300003002458810?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=19&jobId=jobsdb-th-job-300003002458810,Bangkokbank (BBL),Bangrak,"data analysis, statistics, risk model","SAS enterprise, SAS programming","KYC, AML",20h ago
19,Commercial Statistics and Data Analyst,https://th.jobsdb.com//th/en/job/commercial-statistics-and-data-analyst-300003002454542?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=20&jobId=jobsdb-th-job-300003002454542,"Siam Bheasach Co., Ltd.",Jatuchak,,,,14h ago
20,Data Engineer : (Quality control),https://th.jobsdb.com//th/en/job/data-engineer-%3A-quality-control-300003002454990?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=21&jobId=jobsdb-th-job-300003002454990,Central JD Commerce Limited.,Bangkok,Data engineer/ Data analyst,excel skills/ Python/ Power BI/ Tableau,Problem solving and Analytical skills,20h ago
21,Junior Data Engineer/Junior Data Engineer,https://th.jobsdb.com//th/en/job/junior-data-engineer-junior-data-engineer-300003002467516?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=22&jobId=jobsdb-th-job-300003002467516,AIA Company Limited,Bangrak,Concepts of cloud computing; Azure data architect,Data Architecture / Data Modeling,Tableau & Power BI,11h ago
22,Data Analytics Officer,https://th.jobsdb.com//th/en/job/data-analytics-officer-300003002462072?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=23&jobId=jobsdb-th-job-300003002462072,"Predictive Co., Ltd.",Wattana,,,,1d ago
23,ERP Master Data Analyst,https://th.jobsdb.com//th/en/job/erp-master-data-analyst-300003002457990?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=24&jobId=jobsdb-th-job-300003002457990,"INNOPIA (THAILAND) CO., LTD.",Ladkrabang,Bachelor’s Degree in Finance or Accounting or IT,Experience around 0-1 year,New graduate is welcome,1d ago
24,Data Analytic (Digital Transformation),https://th.jobsdb.com//th/en/job/data-analytic-digital-transformation-300003002458654?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=25&jobId=jobsdb-th-job-300003002458654,PTG Energy Public Company Limited,Huaykwang,2 years’ experience in Data Analytics,Business Analyst,knowledge of Big Data platform,20h ago
25,"Associate, Data Analyst",https://th.jobsdb.com//th/en/job/associate-data-analyst-300003002463406?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=26&jobId=jobsdb-th-job-300003002463406,Ninja Logistics (Thailand) Limited.,Prakanong,At least 2 years experience in related field,"SQL, Excel, Google Data Studio and Metabase",Good command in English (TOEIC 600+),20h ago
26,Data Product Owner/Data PO,https://th.jobsdb.com//th/en/job/data-product-owner-data-po-300003002458524?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=27&jobId=jobsdb-th-job-300003002458524,Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,"Exp. in customer journey, collaboration b/w IT, BU",Experience in manage analytics projects,"Data through identifying,capturing,integrating",20h ago
27,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002457828?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=28&jobId=jobsdb-th-job-300003002457828,LINE Company (Thailand) Limited,Pathumwan,3+ years of experience in relevant fields,"Experienced in analysis tools - SQL, R, and Python",Comfort working with Hadoop Ecosystem,1d ago
28,Fraud BI / Fraud Data Analyst,https://th.jobsdb.com//th/en/job/fraud-bi-fraud-data-analyst-300003002462619?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=29&jobId=jobsdb-th-job-300003002462619,"Shopee (Thailand) Co., Ltd.",Huaykwang,Responsible to fraudulent activities monitoring,2 years’ experience in a business intelligence,Experience with data visualization tools,1d ago
29,Data Team Lead,https://th.jobsdb.com//th/en/job/data-team-lead-300003002458976?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=30&jobId=jobsdb-th-job-300003002458976,"TALENTVIS RECRUITMENT (THAILAND) CO., LTD.",Bangrak,"Data Management, Analytical tools",Big Data,Visualization tools,20h ago
30,Data Analyst / Senior Data Analyst (Open for all Nationality),https://th.jobsdb.com//th/en/job/data-analyst-senior-data-analyst-open-for-all-nationality-300003002454324?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=31&jobId=jobsdb-th-job-300003002454324,"Delivery Hero (Thailand) Co., Ltd.",Huaykwang,2-5 years of working experience in data/analytics,"Required: Python/R, tableau, power BI, SQL",Familiar with the Big Query environment is a plus,14h ago
31,Data Scientist,https://th.jobsdb.com//th/en/job/data-scientist-300003002462641?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=32&jobId=jobsdb-th-job-300003002462641,True Corporation Public Company Limited,Huaykwang,insight,media,retail,1d ago
32,Data Analyst (Merchandising team),https://th.jobsdb.com//th/en/job/data-analyst-merchandising-team-300003002462670?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=33&jobId=jobsdb-th-job-300003002462670,Central JD Commerce Limited.,Huaykwang,"2+ years' exp. of Data Analyst, eCommerce, retail","SQL, Hive, Excel, PowerPoint, Power BI, Tableau","Fluent in English, Chinese is a plus",1d ago
33,Specialist - Data Engineer,https://th.jobsdb.com//th/en/job/specialist-data-engineer-300003002458993?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=34&jobId=jobsdb-th-job-300003002458993,"Siam Commercial Bank Public Co., Ltd.",Jatuchak,Data Engineer,Data Solution,Data Service,20h ago
34,Data Engineer/ DBA (Database / ETL),https://th.jobsdb.com//th/en/job/data-engineer-dba-database-etl-300003002454564?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=35&jobId=jobsdb-th-job-300003002454564,"Nemera International Co., Ltd.",Bangkok,•	SQL and NoSQL databases,"•	Data transformation, data structures, metadata",•	Using SQL and big data technologies,20h ago
35,Business Data Analyst,https://th.jobsdb.com//th/en/job/business-data-analyst-300003002461999?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=36&jobId=jobsdb-th-job-300003002461999,"iTopPlus Co., Ltd.",Dindaeng,,,,1d ago
36,เจ้าหน้าที่ข้อมูลและสถิติ (Data Analyst & Statistics Support) ฝ่ายบริการสาขา/เจ้าหน้าที่ข้อมูลและสถิติ (Data Analyst & Statistics Support) ฝ่ายบริการสาขา,https://th.jobsdb.com//th/en/job/%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%96%E0%B8%B4%E0%B8%95%E0%B8%B4-data-analyst-statistics-support-%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%96%E0%B8%B4%E0%B8%95%E0%B8%B4-data-analyst-statistics-support-%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-300003002466985?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=37&jobId=jobsdb-th-job-300003002466985,Muang Thai Life Assurance Public Company Limited,Huaykwang,จบการศึกษาระดับปริญญาตรี สาขาวิชา สถิติ,มีประสบการณ์ด้านงานการวิเคราะห์ข้อมูล,มีทักษะด้านการใช้โปรแกรมคอมพิวเตอร์,1d ago
37,Business Intelligence Consultant,https://th.jobsdb.com//th/en/job/business-intelligence-consultant-300003002463520?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=38&jobId=jobsdb-th-job-300003002463520,Criterion Asia Recruitment (Thailand) Co. Ltd.,Bangkok,Business Intelligence,Data Analytics,Data Visualization,20h ago
38,Data Analytics Manager,https://th.jobsdb.com//th/en/job/data-analytics-manager-300003002454800?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=39&jobId=jobsdb-th-job-300003002454800,Ananda Development Public Company Limited,Klongtoey,Experience in management digital technology,Experience with Marketing Technology,Computer Science,14h ago
39,Senior Data Scientist,https://th.jobsdb.com//th/en/job/senior-data-scientist-300003002467524?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=40&jobId=jobsdb-th-job-300003002467524,Generali Life Assurance (Thailand) PCL.,Pathumwan,Data Scientist / Data Analystics,"Propensity Model,Sales Analytics,Fraud Analytics","Predictive Data Model, SQL Expertise,Python and R",11h ago
40,Business Data Scientist (Middle level) - 3 Positions,https://th.jobsdb.com//th/en/job/business-data-scientist-middle-level-3-positions-300003002462145?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=41&jobId=jobsdb-th-job-300003002462145,Adecco Recruitment (Thailand) Limited,Bangkok,Data Science / Data Modeling Expertise,Solid analytical tool knowledge (Python),"Fluent in English (TOEIC 800, IELTS 6.5)",1d ago
41,Data Scientist,https://th.jobsdb.com//th/en/job/data-scientist-300003002462447?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=42&jobId=jobsdb-th-job-300003002462447,The Gang Technology Company Limited,Bangkok,,,,1d ago
42,Data & Portfolio Analytic/งานวิเคราะห์ข้อมูลและการลงทุน,https://th.jobsdb.com//th/en/job/data-portfolio-analytic-%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A5%E0%B8%87%E0%B8%97%E0%B8%B8%E0%B8%99-300003002467155?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=43&jobId=jobsdb-th-job-300003002467155,Bualuang Securities Public Company Limited,Bangrak,"Python, SQL ,VBA, PowerBI.",Automate Reports,Execute on data and portfolio analytics problems,1d ago
43,Data Analyst (Contract 3 Months),https://th.jobsdb.com//th/en/job/data-analyst-contract-3-months-300003002466903?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=44&jobId=jobsdb-th-job-300003002466903,"Benchachinda Holding Co., Ltd.",Jatuchak,SQL,Big Data,Strong in Data Analytics skills & techniques,1d ago
44,Digital Data Specialist,https://th.jobsdb.com//th/en/job/digital-data-specialist-300003002467627?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=45&jobId=jobsdb-th-job-300003002467627,Ngern Tid Lor Public Company Limited,Phayathai,Digital Data Specialist,"Knowledge of Google Analytics, GTM, Firebase",Experience in Online Media or Digital Marketing,10h ago
45,Data Scientist,https://th.jobsdb.com//th/en/job/data-scientist-300003002462675?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=46&jobId=jobsdb-th-job-300003002462675,ExxonMobil Limited,Klongtoey,3 years of work experience,"Data Analytic, Data Scientist",Oil&Gas,1d ago
46,Data Analytics Auditor,https://th.jobsdb.com//th/en/job/data-analytics-auditor-300003002463585?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=47&jobId=jobsdb-th-job-300003002463585,Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,3-5 years of Data Analytics experiences in Audit,Strong in Data Analytics skills & techniques,"Tools: SQL,Alteryx,Tableau,Power BI,VBA,R,Python",20h ago
47,Consumer Insight Analyst (Social Media Data),https://th.jobsdb.com//th/en/job/consumer-insight-analyst-social-media-data-300003002453311?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=48&jobId=jobsdb-th-job-300003002453311,"Wisesight (Thailand) Co., Ltd.",Jatuchak,Analyzing social media data,Understanding market trends and customers' needs,Cooperating with leading companies,1d ago
48,Data Scientist (Customer Intelligence and Insight),https://th.jobsdb.com//th/en/job/data-scientist-customer-intelligence-and-insight-300003002457958?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=49&jobId=jobsdb-th-job-300003002457958,True Corporation Public Company Limited,Huaykwang,Data Scientist,Business and Data Analysis,Machine Learning,1d ago
49,DATA SCIENCE MANAGER,https://th.jobsdb.com//th/en/job/data-science-manager-300003002463199?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=50&jobId=jobsdb-th-job-300003002463199,Asset World Corp Public Company Limited,Sathorn,"Analytical, Statistical and Programming Skill",Analyzing and Interpreting Large Data Sets,Developing Data-Driven Solutions,20h ago
50,Financial Data Analyst/เจ้าหน้าที่วิเคราะห์ข้อมูลทางด้านการเงิน,https://th.jobsdb.com//th/en/job/financial-data-analyst-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-300003002467787?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=51&jobId=jobsdb-th-job-300003002467787,Thonburi Healthcare Group Public Company Limited,Bangkoknoi,,,,8h ago
51,Data Analyst (Pricing)/นักวิเคราะห์ (การกำหนดราคา),https://th.jobsdb.com//th/en/job/data-analyst-pricing-%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%81%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%94%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2-300003002457700?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=52&jobId=jobsdb-th-job-300003002457700,"Saraburi Sugar Co., Ltd.",Pomprab,Future Market,Sugar,Pricing Strategy,1d ago
52,Data Analyst (Contract 3 months Renewable),https://th.jobsdb.com//th/en/job/data-analyst-contract-3-months-renewable-300003002466716?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=53&jobId=jobsdb-th-job-300003002466716,"Skillpower Services (Thailand) Co., Ltd.",Pathumwan,data analyst,vlookup,expert excel,1d ago
53,Senior Specialist- Data Analyst,https://th.jobsdb.com//th/en/job/senior-specialist-data-analyst-300003002459002?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=54&jobId=jobsdb-th-job-300003002459002,Ngern Tid Lor Public Company Limited,Phayathai,"Experience with SQL, Tableau, GG Analytics,PowerBI",Experience in the data analytics life cycle,exploratory data analysis and data insight present,20h ago
54,Senior Specialist- Data Scientist,https://th.jobsdb.com//th/en/job/senior-specialist-data-scientist-300003002459001?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=55&jobId=jobsdb-th-job-300003002459001,Ngern Tid Lor Public Company Limited,Phayathai,"Build machine learning(logistic regression,SVMs)","R, Python,SQL databases and visualized by Tableau",Exploratory data analysis and data insight,20h ago
55,Data Quality (Specialist/ Manager Level),https://th.jobsdb.com//th/en/job/data-quality-specialist-manager-level-300003002462750?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=56&jobId=jobsdb-th-job-300003002462750,Land and Houses Bank Public Company Limited,Sathorn,Support the implementation of Data Governance,Perform Data Management,Prepare Data Quality dashboard,20h ago
56,Junior Data Engineer (1 year Contract),https://th.jobsdb.com//th/en/job/junior-data-engineer-1-year-contract-300003002467554?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=57&jobId=jobsdb-th-job-300003002467554,Ngern Tid Lor Company Limited,Phayathai,"Experience in Data Visualization, Data Management","Having SQL, Tableau, Visio and MS Excel Skills",Systematic & Logic Thinking,11h ago
57,Data Science Lead,https://th.jobsdb.com//th/en/job/data-science-lead-300003002459006?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=58&jobId=jobsdb-th-job-300003002459006,Argyll Scott Asia,Bangkok,"data scientist, senior data scientist","insurance company, python, azure, sql","IT, technology, data management",20h ago
58,Data Analyst (Power BI & Dashboard),https://th.jobsdb.com//th/en/job/data-analyst-power-bi-dashboard-300003002457595?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=59&jobId=jobsdb-th-job-300003002457595,Bangkok Bank Public Company Limited,Bangrak,Microsoft PowerBI,"dashboard, etl",Capacity Planning and Performance Monitoring,1d ago
59,Data Analyst (Contract Job 1 Year),https://th.jobsdb.com//th/en/job/data-analyst-contract-job-1-year-300003002461928?token=0~0fb1d7ff-7beb-489e-85f7-42ad027e6dcc&sectionRank=60&jobId=jobsdb-th-job-300003002461928,AB Food & Beverages (Thailand) Ltd.,Prakanong,At least 3 years of experience in data modeling,"SQL, Python, SAS, Tableau, Power BI, Power Query",Good command of English,1d ago
60,"MDM Analyst/ Master Data Management Analyst (35,000 - 45,000/ Contract 6 Months)",https://th.jobsdb.com//th/en/job/mdm-analyst-master-data-management-analyst-35-000-45-000-contract-6-months-300003002458389?token=0~bc2d335d-185d-4a48-9205-ed7310f1dbc4&sectionRank=61&jobId=jobsdb-th-job-300003002458389,"Skillpower Services (Thailand) Co., Ltd.",Ladkrabang,TOEIC more than 650,Bachelor’s degree in finance and Accounting,Bachelor’s degree in Information System,20h ago
61,Data Analytics Manager (80-130K)/Data Analyst (Big Data) / Business Intelligence,https://th.jobsdb.com//th/en/job/data-analytics-manager-80-130k-data-analyst-big-data-business-intelligence-300003002457818?token=0~bc2d335d-185d-4a48-9205-ed7310f1dbc4&sectionRank=62&jobId=jobsdb-th-job-300003002457818,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Data Analysis Manager,Big Data analyst,"Power BI, Python, Tableau",1d ago
62,Business Analytics Lead (Healthcare),https://th.jobsdb.com//th/en/job/business-analytics-lead-healthcare-300003002463656?token=0~bc2d335d-185d-4a48-9205-ed7310f1dbc4&sectionRank=63&jobId=jobsdb-th-job-300003002463656,Argyll Scott Asia,Bangkok,"data scientist, senior data scientist","data analyst, business analytics","pharmaceutical, medical, healthcare",20h ago
